"state_code","county_code","site_number","local_site_name","address","city_name","county_name","cbsa_name","monitoring_agency","elevation","latitude","longitude","Site_Established","Years_Active","Pollutants","Status","Site_Closed"
"28","001","0003","Site 0003","FIRE STATION #2 JOHN R. JUNKIN DR.","Natchez","Adams","Natchez, MS-LA","Mississippi DEQ, Office Of Pollution",49,31.541029,-91.398181,1973-01-01,1.7,"SO2","Closed",1974-10-01
"28","001","0004","Natchez","Natchez Municipal Water Works Brenham St","Natchez","Adams","Natchez, MS-LA","Mississippi DEQ, Office Of Pollution",70,31.560752,-91.390405,1974-10-01,37.3,"Ozone, PM2.5, SO2","Closed",2012-01-01
"28","001","0734","Site 0734","NATCHEZ WATERWORKS BREHAM ST.","Natchez","Adams","Natchez, MS-LA","Mississippi DEQ, Office Of Pollution",0,31.560166,-91.391226,1987-03-01,3.8,"Ozone","Closed",1990-11-30
"28","003","0004","TVA PSD SITE AT ROSCOE TURNER AIRPORT, CORINTH, MS","ROSCOE TURNER AIRPORT, CORINTH, MS","Not in a city","Alcorn","Corinth, MS","Tennessee Valley Authority",129,34.909167,-88.601667,2001-04-12,1,"NO2, Ozone, SO2","Closed",2002-04-12
"28","011","0001","Cleveland","213 N. BAYOU AVE.","Cleveland","Bolivar","Cleveland, MS","Mississippi DEQ, Office Of Pollution",0,33.746056,-90.723028,1999-05-18,18.5,"Ozone, PM2.5","Closed",2017-10-31
"28","011","0002","Cleveland Delta State","highway 8 west","Cleveland","Bolivar","Cleveland, MS","Mississippi DEQ, Office Of Pollution",50,33.750838,-90.734175,2018-02-16,8.2,"Ozone, PM2.5","Active",NA
"28","019","0001","TVA PSD SITE IN ACKERMAN , MS","PERRY DRIVE, ACKERMAN, MS","Not in a city","Choctaw",NA,"Tennessee Valley Authority",183,33.378889,-89.203889,1996-10-01,1.2,"CO, NO2, Ozone, PM10, SO2","Closed",1997-12-31
"28","027","0001","Site 0001","CENTRAL FIRE STATION","Clarksdale","Coahoma","Clarksdale, MS","Mississippi DEQ, Office Of Pollution",58,34.202887,-90.568432,1991-01-01,8.2,"PM10","Closed",1999-03-31
"28","033","0002","Hernando","5 EAST SOUTH ST. (HERNANDO)","Hernando","DeSoto","Memphis, TN-MS-AR","Mississippi DEQ, Office Of Pollution",117,34.82056,-89.98778,1973-01-01,53.3,"NO2, Ozone, PM2.5, SO2","Active",NA
"28","035","0002","Site 0002","UNIVERSITY OF SOUTHERN MISS","Hattiesburg","Forrest","Hattiesburg, MS","Mississippi DEQ, Office Of Pollution",67,31.32389,-89.2922,1973-01-01,5,"SO2","Closed",1978-01-01
"28","035","0003","Site 0003","526 FORREST ST.","Hattiesburg","Forrest","Hattiesburg, MS","Mississippi DEQ, Office Of Pollution",58,31.327396,-89.296451,1979-01-01,1.2,"SO2","Closed",1980-04-01
"28","035","0004","Hattiesburg","205 Bay Street","Hattiesburg","Forrest","Hattiesburg, MS","Mississippi DEQ, Office Of Pollution",0,31.32389,-89.2922,1999-03-07,27.1,"PM2.5","Active",NA
"28","037","0001","Site 0001","HWY 98,BUDE WORK CENTER,HOM NAT FOREST","Not in a city","Franklin",NA,"Mississippi DEQ, Office Of Pollution",0,31.408783,-90.847046,1993-03-01,2.7,"Ozone","Closed",1995-11-30
"28","043","0001","Grenada","HWY 332 GRENADA AIRPORT","Grenada","Grenada","Grenada, MS","Mississippi DEQ, Office Of Pollution",0,33.834444,-89.792778,2001-12-01,17.1,"PM2.5","Closed",2019-01-04
"28","045","0001","Site 0001","Port Bienville Industrial Park","Not in a city","Hancock","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",3,30.230363,-89.567498,1980-07-01,25.2,"NO2, Ozone, PM2.5","Closed",2005-08-31
"28","045","0002","LOCATED NEXT TO STENNIS AP WATER WELL","Stennis Airport","Not in a City","Hancock","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",0,30.38,-89.448333,2001-05-03,4.5,"Ozone, PM2.5","Closed",2005-11-09
"28","045","0003","Waveland","400 Baltic St","Waveland","Hancock","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",5,30.300833,-89.395916,2005-06-01,20.9,"NO2, Ozone, PM2.5","Active",NA
"28","045","0719","Site 0719","PORT BIENVILLE INDUSTRIAL PARK","Not in a city","Hancock","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",0,30.231585,-89.563387,1980-07-01,10.4,"Ozone","Closed",1990-11-30
"28","045","8104","HANCOCK ELEMENTARY SCHOOL","Lakeshore Dr and Lower Bay Rd","Bay St. Louis","Hancock","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",25,30.26892,-89.44933,2005-10-29,0.4,"PM10, PM2.5","Closed",2006-03-30
"28","045","8105","KILN WATER UTILITIES","16148 Fire Dept Road","Kiln","Hancock","Gulfport-Biloxi-Pascagoula, MS","Mississippi DEQ, Office Of Pollution",25,30.40966,-89.44114,2005-11-01,0.6,"PM10, PM2.5","Closed",2006-06-11
