Site,MonitorID,Lat,Long,Design Value
Cleveland,280110002,33.750833,-90.734167,63
Hernando,280330002,34.820556,-89.987778,65
Hattiesburg,280350004,31.322779,-89.287498,
Waveland,280450003,30.3008,-89.395798,61
GPORT YC,280470008,30.39,-89.0497,62
Jackson NCORE,280490020,32.329111,-90.182722,58
Hinds,280490021,32.346905,-90.225928,61
Pascagoula,280590006,30.377501,-88.533897,62
Meridian,280750003,32.3644,-88.7314,57
TUPELOAP,280810005,34.2633,-88.7597,57
